timestamps,TP9,AF7,AF8,TP10,Marker0
2.027,-34.668,-35.645,-21.484,-36.621,NaN
2.031,-26.367,-38.086,-14.648,-35.645,0
2.035,-33.691,-30.273,-16.602,-27.344,0
2.039,-42.969,-41.016,-22.461,-25.391,0
2.043,-44.922,-46.875,-30.273,-27.832,NaN
2.047,-33.203,-49.316,-29.297,-26.367,0
2.050,-27.344,-36.133,-23.926,-30.273,0
2.054,-35.645,-9.277,-29.297,-31.738,0
2.058,-36.133,-20.996,-35.645,-27.832,NaN
2.062,-31.250,-34.180,-32.715,-29.297,0
2.066,-34.668,-21.484,-20.020,-30.762,0
2.070,-41.992,-30.273,-8.789,-40.039,0
2.083,-38.574,-39.551,-13.184,-37.598,0
2.087,-33.691,-44.434,-23.926,-25.391,0
2.091,-34.180,-59.082,-24.902,-27.832,0
2.095,-24.414,-40.039,-24.414,-23.926,0
2.099,-16.602,-16.602,-34.668,-14.160,0
2.103,-21.973,-25.391,-33.691,-10.742,NaN
2.106,-18.555,-37.109,-24.902,0.000,0
