timestamps,TP9,AF7,AF8,TP10,Marker0
2.008,53.223,-47.363,-30.762,49.805,NaN
2.012,60.547,-27.832,-46.387,69.336,NaN
2.016,54.199,-17.578,-82.520,62.988,NaN
2.020,55.664,-40.527,-68.848,50.293,0
2.024,44.922,-31.738,-27.344,38.086,0
2.010,31.250,-16.602,3.906,26.367,0
2.014,31.250,-26.855,17.090,26.855,0
2.018,35.645,-37.598,8.301,27.344,NaN
2.022,37.598,-44.434,-16.602,31.738,NaN
2.026,33.203,-29.297,-39.062,25.879,NaN
2.030,29.297,-4.395,-61.523,24.902,0
2.033,47.852,-23.926,-45.410,43.945,0
2.037,43.457,-38.086,-15.625,40.527,0
2.041,12.207,-28.320,-15.137,16.602,0
2.045,10.254,-45.898,-23.438,14.648,NaN
2.049,18.066,-36.133,-18.066,20.508,0
